,PLAYER_ID,GP,MIN,PTS,REB,AST,STL,BLK
0,1629164,133,12.1,4.7,1.6,1.9,0.4,0.0
0,203932,528,28.9,13.0,6.3,2.5,0.7,0.6
0,201569,749,32.4,16.4,2.4,2.8,0.9,0.3
0,1628984,240,27.9,12.8,2.5,5.0,0.9,0.1
0,203924,555,26.0,11.4,3.9,1.3,0.6,1.1
0,201980,819,25.3,8.7,3.4,1.6,1.0,0.8
0,203110,685,28.5,8.7,6.9,5.4,1.4,1.0
0,203210,487,20.8,7.9,5.7,0.9,0.6,0.4
0,1630224,67,31.9,17.3,3.4,2.6,0.7,0.3
0,1629750,154,16.0,5.0,2.9,0.7,0.8,0.3
0,201145,1051,29.0,12.6,4.3,1.5,0.7,0.5
0,1630182,106,14.0,4.0,2.3,1.0,0.6,0.2
0,201933,724,32.9,19.8,8.2,4.1,0.8,0.5
0,1629656,46,17.1,6.0,2.0,1.0,0.7,0.2
0,1629060,147,28.5,13.0,5.2,1.5,0.7,0.2
0,1630169,135,32.9,14.3,3.6,6.9,1.6,0.6
0,1630181,115,19.9,7.3,3.2,2.1,0.5,0.2
0,203501,586,27.0,13.9,2.8,1.9,0.6,0.1
0,201935,942,34.6,24.9,5.6,6.8,1.5,0.5
0,203090,621,22.6,6.9,3.5,0.9,0.9,0.6
0,1629607,16,4.2,2.6,0.3,0.9,0.3,0.1
0,1626149,458,21.5,12.9,5.3,1.4,0.6,0.8
0,203914,468,28.8,11.8,2.5,2.1,1.2,0.2
0,203925,414,25.6,11.1,3.2,1.6,0.5,0.2
0,202699,753,31.4,16.4,6.2,2.3,0.7,0.5
0,1628404,296,27.3,9.9,5.7,2.1,0.9,0.4
0,1628392,165,13.7,5.8,3.9,1.5,0.5,0.8
0,2617,872,24.8,7.5,6.6,0.8,0.5,0.3
0,1630573,26,6.1,2.5,1.1,0.4,0.0,0.1
0,1629637,194,17.7,8.1,4.3,0.7,0.4,0.8
0,1630165,92,25.2,6.8,3.0,4.5,1.1,0.5
0,202330,734,31.1,15.6,4.5,3.5,1.0,0.4
0,1627823,297,15.7,5.4,3.4,0.6,0.4,0.2
0,1626195,306,15.3,7.4,5.9,1.1,0.4,0.4
0,1629639,175,30.3,16.7,4.7,3.2,0.6,0.2
0,1627741,468,29.2,15.9,4.3,2.5,0.8,0.3
0,1629312,24,8.5,2.2,1.3,0.3,0.1,0.1
0,201588,869,27.2,10.7,3.0,3.1,0.9,0.3
0,1630792,19,11.2,3.8,1.8,0.4,0.4,0.2
0,1630207,23,4.2,1.8,0.4,0.3,0.3,0.1
0,1628988,245,18.2,7.3,1.8,2.4,0.7,0.2
0,201950,839,33.2,16.2,4.0,6.4,1.5,0.5
0,203200,576,24.6,8.7,3.0,1.5,1.0,0.4
0,1626158,376,21.1,9.6,5.8,1.1,0.6,1.1
0,203918,448,24.5,10.4,2.6,1.6,0.7,0.2
0,201143,950,32.2,13.7,8.2,3.3,0.8,1.2
0,1629659,131,22.1,9.3,2.8,2.6,1.0,0.4
0,1627863,204,24.4,8.5,3.6,1.3,0.7,0.4
0,2730,1242,31.8,15.7,11.8,1.3,0.9,1.8
0,1630210,68,5.6,3.4,0.5,0.4,0.2,0.0
0,1628989,274,29.6,11.4,3.5,3.2,0.9,0.4
0,1630190,54,9.2,2.9,1.2,0.5,0.3,0.2
0,1630624,2,4.2,0.0,0.5,0.5,0.5,0.0
0,1629631,139,30.7,13.2,4.1,1.6,0.7,0.4
0,1630538,69,19.0,10.1,2.7,2.8,0.6,0.3
0,201586,903,27.6,12.1,7.2,0.8,0.4,1.9
0,2738,1223,32.2,11.4,4.9,4.2,1.4,0.5
0,204060,590,25.7,8.6,3.2,3.8,0.9,0.2
0,1627742,368,32.8,18.5,5.2,3.8,0.7,0.6
0,202681,611,34.0,23.1,3.8,5.7,1.3,0.4
0,1628371,136,25.8,9.3,5.4,1.1,1.1,1.5
0,1628402,213,18.2,8.5,1.8,1.0,0.4,0.1
0,1630543,36,15.0,8.3,4.1,0.3,0.7,1.4
0,1628367,291,23.1,11.3,4.0,1.8,0.9,0.6
0,202704,703,25.6,13.1,3.0,4.3,0.7,0.1
0,1628991,204,27.1,15.8,5.1,1.2,0.9,1.8
0,2544,1366,38.2,27.1,7.5,7.4,1.6,0.8
0,1629660,112,17.1,7.1,1.9,2.4,0.6,0.1
0,1630198,96,10.3,3.7,1.0,0.6,0.3,0.1
0,1629661,183,24.2,10.4,3.6,1.4,0.7,0.3
0,1630525,2,1.0,0.0,0.0,0.0,0.0,0.0
0,1630552,22,5.5,2.4,1.2,0.1,0.1,0.1
0,1629640,161,28.9,14.4,5.8,1.8,0.7,0.2
0,1630553,37,18.8,7.2,2.2,2.1,0.8,0.3
0,1626169,419,20.1,6.3,3.1,1.5,0.9,0.2
0,203999,527,30.4,19.7,10.4,6.2,1.2,0.7
0,1627745,199,15.2,5.6,3.4,0.8,0.4,0.7
0,1630529,78,29.9,9.5,3.8,2.1,1.7,0.8
0,1630539,21,3.0,1.0,0.5,0.2,0.0,0.1
0,1630222,36,10.7,5.4,1.8,1.3,0.3,0.0
0,1630200,106,13.4,4.8,1.7,2.6,0.5,0.1
0,1626145,455,18.4,6.2,1.8,3.7,1.0,0.1
0,1627884,280,19.8,6.5,3.4,0.7,0.7,0.7
0,201599,980,26.7,9.1,10.3,1.0,0.5,1.5
0,202709,728,22.2,7.1,2.6,3.0,0.8,0.2
0,1628379,297,23.5,10.0,2.9,2.0,0.5,0.1
0,1630296,11,17.9,7.2,4.5,1.0,0.9,1.0
0,1630557,77,23.4,8.2,2.7,1.1,0.5,0.3
0,1628467,326,22.7,7.1,4.8,1.1,0.4,0.9
0,1630233,70,7.8,3.7,2.2,0.4,0.2,0.3
0,1628995,212,18.9,7.7,2.9,0.8,0.4,0.3
0,1629723,134,15.3,4.4,3.8,1.3,0.6,0.3
0,1627788,256,18.7,7.9,2.2,1.3,0.6,0.1
0,1628436,148,14.3,5.5,2.6,1.0,0.3,0.8
0,1630249,30,23.0,6.2,3.4,1.9,0.6,0.3
0,1629083,2,2.7,0.0,0.0,0.0,0.0,0.0
0,1630228,70,16.9,9.3,3.3,0.9,0.4,0.3
0,1628398,342,30.4,15.6,6.2,2.2,0.6,0.5
0,203897,478,31.8,19.8,3.9,3.9,0.9,0.3
0,1630237,26,16.3,5.1,2.7,1.0,0.2,0.2
0,203087,573,20.8,10.1,3.6,1.6,0.7,0.4
0,1629111,54,10.9,4.9,2.6,0.8,0.2,0.3
0,1629641,98,14.5,3.6,1.9,0.5,0.4,0.3
0,1627774,243,12.8,4.8,1.7,0.5,0.4,0.3
0,1627747,318,27.5,14.6,3.8,4.0,1.1,0.3
0,1627814,216,21.0,8.2,3.5,1.4,0.7,0.1
0,1630240,85,16.3,5.6,2.2,3.3,0.8,0.3
0,203458,570,18.9,7.7,5.9,0.9,0.4,1.0
0,202695,576,31.3,19.2,6.4,2.9,1.8,0.6
0,1630575,2,3.3,0.5,0.0,0.5,0.5,0.0
0,1630184,78,16.0,6.2,1.4,2.2,0.6,0.1
0,203081,711,36.3,24.6,4.2,6.6,1.0,0.3
0,1629642,138,16.7,5.8,3.4,0.7,0.3,0.5
0,1630587,19,20.2,6.4,3.0,1.1,0.7,0.4
0,1626172,367,16.4,4.7,4.8,1.4,0.5,0.6
0,201572,868,30.2,16.4,6.2,1.4,0.6,1.8
0,201577,939,21.9,8.7,4.9,0.8,0.2,1.1
0,1629712,12,15.5,3.6,1.7,0.7,0.3,0.2
0,201567,812,30.9,17.6,10.7,2.4,0.7,0.4
0,200768,1023,31.9,14.8,4.4,6.3,1.3,0.3
0,1630994,4,11.1,3.3,1.8,2.8,0.8,0.0
0,1627789,328,16.0,5.9,2.0,0.9,0.4,0.1
0,1626168,449,18.3,7.8,4.3,1.1,0.4,0.3
0,1630177,116,23.2,8.8,2.9,2.9,0.8,0.2
0,1630572,41,9.9,3.8,2.0,0.5,0.2,0.2
0,1629611,189,20.9,7.6,3.8,1.9,0.5,0.2
0,1630544,60,22.8,10.4,2.9,1.5,0.8,0.2
0,1626246,286,9.2,5.9,3.8,0.5,0.2,0.3
0,1628374,282,29.7,15.4,6.8,1.3,0.7,0.5
0,1630230,87,16.5,6.4,3.3,1.7,0.7,0.2
0,1628997,131,19.1,7.1,3.1,1.2,0.8,0.4
0,1628998,171,21.2,5.8,3.5,2.1,1.0,0.3
0,1630231,124,22.0,9.0,4.3,1.2,0.5,0.7
0,1629726,147,20.3,7.5,2.0,0.7,0.6,0.2
0,202083,898,30.5,12.2,2.9,2.0,1.0,0.2
0,1630178,136,26.4,13.2,2.5,3.2,0.6,0.3
0,1630219,61,8.0,3.3,1.0,0.8,0.3,0.0
0,1630540,40,9.3,2.2,1.1,1.0,0.4,0.0
0,1630644,2,12.2,4.0,1.5,0.5,0.5,0.5
0,203468,590,31.6,19.2,3.5,3.5,0.9,0.4
0,204456,481,22.2,6.9,3.0,5.0,1.3,0.2
0,1630183,133,24.9,8.1,3.9,1.1,0.7,0.9
