,PLAYER_ID,GP,MIN,PTS,REB,AST,STL,BLK
0,1630533,62,21.7,8.1,2.1,1.0,0.6,0.2
0,1629057,174,19.9,7.2,6.6,1.4,0.7,1.7
0,1629627,85,31.7,25.7,7.0,3.2,0.9,0.6
0,1629685,81,12.0,3.3,2.4,0.8,0.4,0.2
0,1626159,315,25.8,8.4,5.1,2.5,0.9,0.4
0,1630216,29,4.7,1.9,0.3,0.7,0.1,0.0
0,1630164,39,21.4,11.5,5.8,0.7,0.3,0.9
0,1626174,222,23.6,14.2,7.3,1.3,0.6,0.9
0,1630218,25,3.5,1.1,1.1,0.2,0.0,0.2
0,1626153,411,20.9,7.2,3.2,3.0,1.2,0.4
0,1630589,4,3.7,1.3,0.8,0.5,0.0,0.3
0,1630593,5,3.8,1.0,0.0,0.6,0.0,0.0
0,1628221,2,10.7,4.0,1.0,2.0,1.0,0.5
0,201152,1085,29.3,12.8,5.8,1.8,1.4,0.4
0,1629027,280,33.6,25.3,3.9,9.1,0.9,0.2
0,1630209,56,12.6,5.3,5.3,0.9,0.3,0.4
0,1627826,360,19.0,8.3,6.5,1.1,0.3,0.8
