,Players,Salary
150,Alex Caruso\carusal01,$8604651
151,Delon Wright\wrighde01,$8526316
152,De'Anthony Melton\meltode01,$8437500
153,Daniel Theis\theisda01,$8372093
154,Monte Morris\morrimo01,$8333333
155,Trae Young\youngtr01,$8326471
156,JaMychal Green\greenja01,$8292683
157,LaMelo Ball\ballla01,$8231760
158,Seth Curry\curryse01,$8186047
159,Mason Plumlee\plumlma01,$8137500
160,Evan Mobley\mobleev01,$8075160
161,Cedi Osman\osmande01,$8050000
162,DeAndre Jordan\jordade01,$11109327
163,De'Andre Hunter\huntede01,$7775400
164,Mo Bamba\bambamo01,$7568742
165,Tyus Jones\jonesty01,$7522200
166,Ivica Zubac\zubaciv01,$7518518
167,T.J. McConnell\mccontj01,$7500000
168,Patrick Williams\willipa01,$7422000
169,Scottie Barnes\barnesc01,$7280520
170,Darius Garland\garlada01,$7040880
171,Chris Boucher\bouchch01,$7009615
172,D.J. Augustin\augusdj01,$7622467
173,P.J. Tucker\tuckepj01,$7000000
174,Zach Collins\colliza01,$6984127
175,Wendell Carter Jr.\cartewe01,$6920027
176,Isaac Okoro\okorois01,$6720720
177,Jalen Suggs\suggsja01,$6593040
178,Cameron Payne\payneca01,$6500000
179,Joakim Noah\noahjo01,$6431666
180,Jarrett Culver\culveja01,$6395160
181,Khem Birch\birchkh01,$6350000
182,Collin Sexton\sextoco01,$6349671
183,Juancho Hernangómez\hernaju01,$6175440
184,Onyeka Okongwu\okongon01,$6104280
185,Justin Holiday\holidju01,$6006420
186,Josh Giddey\giddejo01,$5988000
187,Rudy Gay\gayru01,$5890000
188,Dennis Schröder\schrode01,$5890000
189,Patty Mills\millspa02,$5890000
190,Kevin Knox\knoxke01,$5845978
191,Coby White\whiteco01,$5837760
192,Timofey Mozgov\mozgoti01,$5573334
193,Killian Hayes\hayeski01,$5572680
194,Mikal Bridges\bridgmi01,$5557725
195,Shai Gilgeous-Alexander\gilgesh01,$5495532
196,Jonathan Kuminga\kuminjo01,$5466360
197,Miles Bridges\bridgmi02,$5421493
198,Jaxson Hayes\hayesja02,$5348280
199,Pat Connaughton\connapa01,$5333333
200,Michael Porter Jr.\portemi01,$5258735
201,Ryan Anderson\anderry01,$5214584
202,Hamidou Diallo\diallha01,$5200000
203,Kevon Looney\looneke01,$5178572
204,Troy Brown Jr.\browntr01,$5170564
205,Obi Toppin\toppiob01,$5105160
206,Franz Wagner\wagnefr01,$5007840
207,Josh Jackson\jacksjo02,$5005350
208,JaVale McGee\mcgeeja01,$5000000
209,Robin Lopez\lopezro01,$5000000
210,Kendrick Nunn\nunnke01,$5000000
211,Lou Williams\willilo02,$5000000
212,Luol Deng\denglu01,$4990000
213,Rui Hachimura\hachiru01,$4916160
214,Garrett Temple\templga01,$4910000
215,Cory Joseph\josepco01,$7310000
216,Taj Gibson\gibsota01,$4910000
217,Torrey Craig\craigto01,$4878049
218,Rajon Rondo\rondora01,$2641691
219,Bruce Brown\brownbr01,$4736102
220,Deni Avdija\avdijde01,$4692840
221,Donte DiVincenzo\divindo01,$4675830
